etsng_code;etsng_name;cargo_group_code;cargo_group_name
322055;БАЛКИ СТАЛЬНЫЕ НЕСКЛЕПАННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;3;Черные металлы
322063;ШВЕЛЛЕРЫ N 5, 8;10;Остальные грузы
322074;ШВЕЛЛЕРЫ N 6, 5;10;Остальные грузы
322089;ШВЕЛЛЕРЫ МЕТАЛЛИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
323005;ТРУБЫ ИЗ ЧЕРНЫХ МЕТАЛЛОВ;10;Остальные грузы
323016;ЗМЕЕВИКИ СТАЛЬНЫЕ;3;Черные металлы
323024;ТРУБЫ БЕСШОВНЫЕ;10;Остальные грузы
323039;ТРУБЫ ВОДОГАЗОПРОВОДНЫЕ ОЦИНКОВАННЫЕ И ИХ ЧАСТИ;10;Остальные грузы
323043;ТРУБЫ ВОДОГАЗОПРОВОДНЫЕ ПРОЧИЕ И ИХ ЧАСТИ;10;Остальные грузы
323058;ТРУБЫ МЕТАЛЛИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
323062;ТРУБЫ НЕРЖАВЕЮЩИЕ;10;Остальные грузы
323077;ТРУБЫ СТАЛЬНЫЕ СВАРНЫЕ БОЛЬШОГО ДИАМЕТРА (400-1420 ММ);3;Черные металлы
323081;ТРУБЫ СТАЛЬНЫЕ С НЕМЕТАЛЛИЧЕСКИМИ ПОКРЫТИЯМИ И ИХ ЧАСТИ;3;Черные металлы
323096;ТРУБЫ ЧУГУННЫЕ И ИХ ЧАСТИ;3;Черные металлы
324008;ПРОЧИЕ ВИДЫ ПРОКАТА ЧЕРНЫХ МЕТАЛЛОВ;3;Черные металлы
324012;БАНДАЖИ ИЗ ЧЕРНЫХ МЕТАЛЛОВ;10;Остальные грузы
324027;ЖЕСТЬ ВСЯКАЯ;10;Остальные грузы
324031;КАТАНКА СТАЛЬНАЯ;3;Черные металлы
324046;КОЛЕСА ВАГОННЫЕ И ЛОКОМОТИВНЫЕ НОВЫЕ ЦЕЛЬНОКАТАННЫЕ;4;Лесные грузы
324050;ЛЕНТА СТАЛЬНАЯ ГОРЯЧЕКАТАНАЯ;3;Черные металлы
324065;ЛЕНТА СТАЛЬНАЯ ХОЛОДНОКАТАНАЯ;3;Черные металлы
324079;МЕТАЛЛОПЛАСТ;10;Остальные грузы
324084;ПОЛОСА СТАЛЬНАЯ ВСЯКАЯ (СТАЛЬ ПОЛОСОВАЯ), НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;3;Черные металлы
324099;ПРОВОД МНОГОЖИЛЬНЫЙ СТАЛЬНОЙ;3;Черные металлы
324101;ПРОВОЛОКА СТАЛЬНАЯ (В ТОМ ЧИСЛЕ ПОКРЫТАЯ ДРУГИМИ МЕТАЛЛАМИ);3;Черные металлы
