index;key;origin;dest;cargo_name;message_type;in_rzd;rzd_routes_count
328;30250_90430;30250;90430;ШАРЫ СТ ПОМОЛ;Внутр. перевозки (Восток);True;10
329;30250_62510;30250;62510;ЧУГУН ПЕР РЯД;Внутр. перевозки (Юг);True;32
330;24360_79840;24360;79840;ТРУБЫ МЕТ ПР;Внутр. перевозки (Юг);True;3
331;24360_79860;24360;79860;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Юг);True;19
332;43860_17140;43860;17140;ПРОК ЧЕРМЕТ ПР;Экспорт (Северо-Запад);True;27
333;80120_86250;80120;86250;ЗАГОТ Д/ПЕР КАЧ;Внутр. перевозки (Юг);True;40
334;80120_65430;80120;65430;ЗАГОТ Д/ПЕР КАЧ;Внутр. перевозки (Юг);True;14
335;80120_52350;80120;52350;ЗАГОТ Д/ПЕР КАЧ;Внутр. перевозки (Юг);True;14
336;43860_52350;43860;52350;ЗАГОТ Д/ПЕР РЯД;Внутр. перевозки (Юг);True;9
337;21190_17140;21190;17140;ЧУГУН ПЕР РЯД;Экспорт (Северо-Запад);True;28
339;95530_10310;95530;10310;ЗЕРНО БОБОВ;Внутр. перевозки (Северо-Запад);True;14
342;59540_10310;59540;10310;ЗЕРНО БОБОВ;Внутр. перевозки (Северо-Запад);True;27
343;95530_59540;95530;59540;ЗЕРНО БОБОВ;Внутр. перевозки (Юг);True;12
344;53730_17140;53730;17140;СЕМЕНА МАСЛ ПР;Экспорт (Северо-Запад);True;3
347;64620_52100;64620;52100;ПШЕНИЦА;Экспорт (Юг);True;17
351;60720_52100;60720;52100;ПШЕНИЦА;Экспорт (Юг);True;15
353;60110_52100;60110;52100;ПШЕНИЦА;Экспорт (Юг);True;14
354;92450_3620;92450;3620;АЛЮМИНИЙ СПЛАВ;Экспорт (Северо-Запад);True;19
355;88760_98090;88760;98090;АЛЮМИНИЙ СПЛАВ;Экспорт (Восток);True;4
356;89210_94700;89210;94700;АЛЮМИНИЙ СПЛАВ;Экспорт (Восток);True;28
357;88760_52780;88760;52780;АЛЮМИНИЙ СПЛАВ;Экспорт (Юг);True;20
359;92450_3620;92450;3620;АЛЮМИНИЙ СПЛАВ;Экспорт (Северо-Запад);True;19
360;89010_52780;89010;52780;АЛЮМИНИЙ СПЛАВ;Экспорт (Юг);True;16
361;88760_98720;88760;98720;АЛЮМИНИЙ СПЛАВ;Экспорт (Восток);True;6
362;92030_98720;92030;98720;АЛЮМИНИЙ СПЛАВ;Экспорт (Восток);True;6
364;92450_3620;92450;3620;АЛЮМИНИЙ СПЛАВ;Экспорт (Северо-Запад);True;19
365;93290_3590;93290;3590;АЛЮМИНИЙ СПЛАВ;Экспорт (Северо-Запад);True;8
366;89010_63800;89010;63800;АЛЮМИНИЙ СПЛАВ;Внутр. перевозки (Юг);True;17
367;92450_79540;92450;79540;АЛЮМИНИЙ СПЛАВ;Внутр. перевозки (Юг);True;3
368;1540_30250;1540;30250;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Северо-Запад);True;2
369;77300_52100;77300;52100;ОКАТЫШИ Ж/РУД;Экспорт (Юг);True;6
370;2780_30250;2780;30250;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Северо-Запад);True;13
371;43840_96010;43840;96010;БРИКЕТЫ ЖЕЛЕЗ;Внутр. перевозки (Восток);True;2
372;91370_80120;91370;80120;АГЛОРУДА;Внутр. перевозки (Юг);True;15
373;43840_91310;43840;91310;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Восток);True;3
374;1640_2140;1640;2140;ШТЕЙН НИКЕЛЕВ;Экспорт (Северо-Запад);True;2
376;43840_54490;43840;54490;БРИКЕТЫ ЖЕЛЕЗ;Экспорт (Юг);True;1
377;1810_98610;1810;98610;КОНЦЕНТР НИКЕЛ;Экспорт (Восток);True;6
379;79540_85030;79540;85030;РУДА АЛЮМИН ПР;Внутр. перевозки (Юг);True;2
380;1540_30250;1540;30250;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Северо-Запад);True;2
381;77300_30260;77300;30260;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Северо-Запад);True;1
382;1810_3560;1810;3560;КОНЦЕНТР НИКЕЛ;Экспорт (Северо-Запад);True;6
384;43840_52100;43840;52100;БРИКЕТЫ ЖЕЛЕЗ;Экспорт (Юг);True;9
385;77300_52100;77300;52100;ОКАТЫШИ Ж/РУД;Экспорт (Юг);True;6
386;43840_59230;43840;59230;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Юг);True;12
387;2780_93150;2780;93150;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Восток);True;6
388;79540_92030;79540;92030;ГЛИНОЗЕМ;Внутр. перевозки (Восток);True;6
389;92570_80120;92570;80120;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Юг);True;10
390;43840_91720;43840;91720;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Восток);True;2
391;79540_93290;79540;93290;ГЛИНОЗЕМ;Внутр. перевозки (Восток);True;3
392;20540_1840;20540;1840;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Северо-Запад);True;3
393;43840_81750;43840;81750;АГЛОРУДА;Внутр. перевозки (Юг);True;19
394;1810_98610;1810;98610;КОНЦЕНТР НИКЕЛ;Экспорт (Восток);True;6
395;43540_30250;43540;30250;АГЛОРУДА;Внутр. перевозки (Северо-Запад);True;6
396;1540_1850;1540;1850;КОНЦЕНТРАТ ЖЛРУ;Экспорт (Северо-Запад);True;6
397;81410_78140;81410;78140;КОНЦЕНТР МЕДН;Внутр. перевозки (Юг);True;2
398;20540_94700;20540;94700;ОКАТЫШИ Ж/РУД;Экспорт (Восток);True;3
399;90430_77090;90430;77090;КОНЦЕНТР МЕДН;Внутр. перевозки (Юг);True;2
400;92620_92570;92620;92570;РУДА ЖЕЛЕЗ ПР;Внутр. перевозки (Восток);True;21
402;77300_86420;77300;86420;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Юг);True;3
403;43800_21190;43800;21190;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Северо-Запад);True;4
404;1540_81750;1540;81750;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Юг);True;7
405;94470_94470;94470;94470;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Восток);True;170
406;79540_19300;79540;19300;РУДА АЛЮМИН ПР;Внутр. перевозки (Северо-Запад);True;1
407;20530_62850;20530;62850;РУДА ЖЕЛЕЗ ДОМ;Экспорт (Юг);True;10
408;1540_1850;1540;1850;КОНЦЕНТРАТ ЖЛРУ;Экспорт (Северо-Запад);True;6
409;28520_79540;28520;79540;БОКСИТЫ;Внутр. перевозки (Юг);True;4
410;20530_21190;20530;21190;РУДА ЖЕЛЕЗ ДОМ;Внутр. перевозки (Северо-Запад);True;3
411;43840_20120;43840;20120;БРИКЕТЫ ЖЕЛЕЗ;Экспорт (Северо-Запад);True;20
412;77540_1490;77540;1490;ГЛИНОЗЕМ;Внутр. перевозки (Северо-Запад);True;1
413;20540_7640;20540;7640;ОКАТЫШИ Ж/РУД;Экспорт (Северо-Запад);True;12
414;80140_81360;80140;81360;КЛИНКЕР ЦВЕТМЕТ;Внутр. перевозки (Юг);True;4
415;88380_92450;88380;92450;РУДА АЛЮМИН ПР;Внутр. перевозки (Восток);True;8
416;78570_80570;78570;80570;РУДА МЕДН;Внутр. перевозки (Юг);True;2
417;20530_86420;20530;86420;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Юг);True;5
